"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"27032","YLEO","medium_airport","Leonora Airport","OC","AU","AU-WA","Leonora","LNO"
"27033","YLEV","small_airport","Lake Evella Airport","OC","AU","AU-NT","-","LEL"
"27721","YLHI","small_airport","Lord Howe Island Airport","OC","AU","AU-NSW","Lord Howe Island","LDH"
"27034","YLHR","medium_airport","Lockhart River Airport","OC","AU","AU-QLD","Lockhart River","IRG"
"27035","YLIS","medium_airport","Lismore Airport","OC","AU","AU-NSW","Lismore","LSY"
"27037","YLRD","medium_airport","Lightning Ridge Airport","OC","AU","AU-NSW","-","LHG"
"27038","YLRE","medium_airport","Longreach Airport","OC","AU","AU-QLD","Longreach","LRE"
"27039","YLST","medium_airport","Leinster Airport","OC","AU","AU-WA","-","LER"
"27040","YLTN","small_airport","Laverton Airport","OC","AU","AU-WA","Laverton","LVO"
"32503","YMAA","small_airport","Mabuiag Island Airport","OC","AU","AU-QLD","Mabuiag Island","UBB"
"31993","YMAE","small_airport","Murray Island Airport","OC","AU","AU-QLD","Murray Island","MYI"
"27043","YMAV","medium_airport","Avalon Airport","OC","AU","AU-VIC","Lara","AVV"
"27044","YMAY","medium_airport","Albury Airport","OC","AU","AU-NSW","Albury","ABX"
"27050","YMEK","medium_airport","Meekatharra Airport","OC","AU","AU-WA","-","MKR"
"27051","YMEN","medium_airport","Melbourne Essendon Airport","OC","AU","AU-VIC","Essendon Fields","MEB"
"27052","YMER","medium_airport","Merimbula Airport","OC","AU","AU-NSW","Merimbula","MIM"
"27054","YMGB","small_airport","Milingimbi Airport","OC","AU","AU-NT","Milingimbi Island","MGT"
"27055","YMGD","medium_airport","Maningrida Airport","OC","AU","AU-NT","Maningrida","MNG"
"27058","YMHB","medium_airport","Hobart International Airport","OC","AU","AU-TAS","Hobart","HBA"
"27059","YMHU","small_airport","McArthur River Mine Airport","OC","AU","AU-NT","McArthur River Mine","MCV"
"27060","YMIA","medium_airport","Mildura Airport","OC","AU","AU-VIC","Mildura","MQL"
"27063","YMLT","medium_airport","Launceston Airport","OC","AU","AU-TAS","Launceston","LST"
"27064","YMMB","medium_airport","Melbourne Moorabbin Airport","OC","AU","AU-VIC","Melbourne","MBW"
"27066","YMML","large_airport","Melbourne International Airport","OC","AU","AU-VIC","Melbourne","MEL"
"27071","YMOG","medium_airport","Mount Magnet Airport","OC","AU","AU-WA","-","MMG"
"27072","YMOR","medium_airport","Moree Airport","OC","AU","AU-NSW","Moree","MRZ"
"27074","YMRB","medium_airport","Moranbah Airport","OC","AU","AU-QLD","Moranbah","MOV"
"27075","YMRY","medium_airport","Moruya Airport","OC","AU","AU-NSW","Moruya","MYA"
"27076","YMTG","medium_airport","Mount Gambier Airport","OC","AU","AU-SA","Mount Gambier","MGB"
"27077","YMTI","small_airport","Mornington Island Airport","OC","AU","AU-QLD","-","ONG"
"27080","YMYB","small_airport","Maryborough Airport","OC","AU","AU-QLD","Maryborough","MBH"
"27081","YNAR","medium_airport","Narrandera Airport","OC","AU","AU-NSW","Narrandera","NRA"
"27082","YNBR","medium_airport","Narrabri Airport","OC","AU","AU-NSW","Narrabri","NAA"
"26898","YNPE","small_airport","Northern Peninsula Airport","OC","AU","AU-QLD","Bamaga","ABM"
"332096","YNT","large_airport","Yantai Penglai International Airport","AS","CN","CN-37","Yantai","YNT"
"27088","YNTN","medium_airport","Normanton Airport","OC","AU","AU-QLD","Normanton","NTN"
"27090","YNWN","medium_airport","Newman Airport","OC","AU","AU-WA","Newman","ZNE"
"27093","YOLD","small_airport","Olympic Dam Airport","OC","AU","AU-SA","Olympic Dam","OLP"
"27096","YPAD","large_airport","Adelaide International Airport","OC","AU","AU-SA","Adelaide","ADL"
"27097","YPAG","medium_airport","Port Augusta Airport","OC","AU","AU-SA","-","PUG"
"27098","YPAM","small_airport","Palm Island Airport","OC","AU","AU-QLD","-","PMK"
"27099","YPBO","medium_airport","Paraburdoo Airport","OC","AU","AU-WA","Paraburdoo","PBO"
"27100","YPCC","medium_airport","Cocos (Keeling) Islands Airport","AS","CC","CC-U-A","West Island","CCK"
"27104","YPGV","medium_airport","Gove Airport","OC","AU","AU-NT","Nhulunbuy","GOV"
"27107","YPKA","medium_airport","Karratha Airport","OC","AU","AU-WA","Karratha","KTA"
"27108","YPKG","medium_airport","Kalgoorlie Boulder Airport","OC","AU","AU-WA","Broadwood","KGI"
"27109","YPKS","medium_airport","Parkes Airport","OC","AU","AU-NSW","Parkes","PKE"
"27111","YPKU","medium_airport","East Kimberley Regional (Kununurra) Airport","OC","AU","AU-WA","Kununurra","KNX"
"27112","YPLC","medium_airport","Port Lincoln Airport","OC","AU","AU-SA","Port Lincoln","PLO"
"27113","YPLM","medium_airport","Learmonth Airport","OC","AU","AU-WA","Exmouth","LEA"
"316690","YPMH","small_airport","Prominent Hill Airport","OC","AU","AU-SA","Mount Eba","PXH"
